Num,Plaats,Datum,Time hh:mm:ss,Magnitude,Diepte_km,Easting,Northing,Province
83,Meedhuizen,05/02/1998,21:11:49,1.1,3,258210,590499,Groningen
84,t-Zandt',15/02/1998,07:24:16,2.6,3,247269,597512,Groningen
85,Westeremden,29/03/1998,06:06:40,1.3,3,244429,596233,Groningen
86,Zeerijp,19/04/1998,08:00:12,1.5,3,243975,595557,Groningen
87,Uithuizen,19/04/1998,15:32:35,1.6,3,241072,605077,Groningen
88,Scharmer,30/04/1998,01:08:41,0.9,3,243199,579736,Groningen
89,Oldenzijl,18/05/1998,22:03:42,1.3,3,244439,602801,Groningen
90,Slochteren,30/05/1998,09:43:15,0.9,3,247864,580491,Groningen
91,Froombosch,14/08/1998,19:25:16,1.1,3,249625,579301,Groningen
92,Overschild,24/08/1998,04:28:58,2.4,3,249860,591106,Groningen
93,Zeerijp,04/10/1998,03:28:32,1,3,245611,597146,Groningen
94,Oldenzijl,12/12/1998,07:51:39,2,3,242203,601424,Groningen
95,Slochteren,26/12/1998,23:48:02,1.6,3,251378,581896,Groningen
96,Zeerijp,13/01/1999,19:36:37,2.1,3,247529,597851,Groningen
97,Siddeburen,31/01/1999,04:53:00,0.4,3,250955,586341,Groningen
98,Wirdum,06/03/1999,05:56:39,1.6,3,247668,594068,Groningen
99,Appingedam,21/04/1999,10:59:56,1.4,3,251828,592703,Groningen
100,Stedum,08/05/1999,20:40:18,1.6,3,242472,593971,Groningen
101,Sappemeer,21/05/1999,00:09:38,0.7,3,250489,576201,Groningen
102,Garsthuizen,10/08/1999,23:24:18,1.4,3,244153,600347,Groningen
103,Westeremden,11/08/1999,01:18:00,0.7,3,242562,596310,Groningen
104,Sappemeer,08/12/1999,05:39:28,0.3,3,249587,577853,Groningen
105,Schildwolde,09/12/1999,09:38:00,1.1,3,249507,585310,Groningen
106,Sappemeer,09/12/1999,09:52:12,1,3,249311,578293,Groningen
107,Achterdiep,10/12/1999,06:13:32,1.4,3,248927,577395,Groningen
108,Westeremden,20/12/1999,12:29:29,1.5,3,243083,596988,Groningen
109,Kolham,21/12/1999,04:52:37,1,3,247090,579029,Groningen
110,Delfzijl,24/12/1999,23:52:41,1.8,3,258940,593743,Groningen
111,Appingedam,12/02/2000,19:48:10,1.7,3.5,250609,593681,Groningen
112,Westeremden,19/03/2000,16:13:36,1.6,3,242302,595971,Groningen
113,Engelbert,08/04/2000,11:07:29,1.2,3,238172,580537,Groningen
114,Godlinze,08/04/2000,21:13:17,1.1,3,252031,599164,Groningen
115,Ten Boer,14/04/2000,23:07:47,1.2,3,247305,592169,Groningen
116,Garsthuizen,16/05/2000,01:11:14,1.9,3,243025,600103,Groningen
117,Loppersum,11/06/2000,04:12:20,2,3,246620,596609,Groningen
